Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	282.352140776
201408_BolsaFamiliaFolhaPagamento.csv	14131123	273.798805125
201409_BolsaFamiliaFolhaPagamento.csv	14143630	271.963840291
201410_BolsaFamiliaFolhaPagamento.csv	14076919	275.206386425
201411_BolsaFamiliaFolhaPagamento.csv	14109947	272.44035383
201412_BolsaFamiliaFolhaPagamento.csv	14054243	274.530099931
201501_BolsaFamiliaFolhaPagamento.csv	14026988	274.958614981
201502_BolsaFamiliaFolhaPagamento.csv	14042558	273.237809355
201503_BolsaFamiliaFolhaPagamento.csv	14004026	266.415689273
201504_BolsaFamiliaFolhaPagamento.csv	13787678	268.132841211
201505_BolsaFamiliaFolhaPagamento.csv	13779988	267.504473337
201506_BolsaFamiliaFolhaPagamento.csv	13753665	265.111421742

Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	277.644831785
201408_BolsaFamiliaFolhaPagamento.csv	14131123	273.42340966
201409_BolsaFamiliaFolhaPagamento.csv	14143630	275.365228585
201410_BolsaFamiliaFolhaPagamento.csv	14076919	272.640203743
201411_BolsaFamiliaFolhaPagamento.csv	14109947	274.247478993
201412_BolsaFamiliaFolhaPagamento.csv	14054243	274.230718858
201501_BolsaFamiliaFolhaPagamento.csv	14026988	273.075305913
201502_BolsaFamiliaFolhaPagamento.csv	14042558	269.326154106
201503_BolsaFamiliaFolhaPagamento.csv	14004026	267.366184463
201504_BolsaFamiliaFolhaPagamento.csv	13787678	267.775262263
201505_BolsaFamiliaFolhaPagamento.csv	13779988	264.996530315
201506_BolsaFamiliaFolhaPagamento.csv	13753665	267.863806368

Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	275.603935562
201408_BolsaFamiliaFolhaPagamento.csv	14131123	271.571913834
201409_BolsaFamiliaFolhaPagamento.csv	14143630	271.779904347
201410_BolsaFamiliaFolhaPagamento.csv	14076919	269.094638591
201411_BolsaFamiliaFolhaPagamento.csv	14109947	268.96022415
201412_BolsaFamiliaFolhaPagamento.csv	14054243	271.426894299
201501_BolsaFamiliaFolhaPagamento.csv	14026988	276.100177138
201502_BolsaFamiliaFolhaPagamento.csv	14042558	266.818450076
201503_BolsaFamiliaFolhaPagamento.csv	14004026	268.444985359
201504_BolsaFamiliaFolhaPagamento.csv	13787678	272.106406256
201505_BolsaFamiliaFolhaPagamento.csv	13779988	264.825327081
201506_BolsaFamiliaFolhaPagamento.csv	13753665	266.1649208

Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	272.928685101
201408_BolsaFamiliaFolhaPagamento.csv	14131123	270.862301193
201409_BolsaFamiliaFolhaPagamento.csv	14143630	272.001365839
201410_BolsaFamiliaFolhaPagamento.csv	14076919	268.48652939
201411_BolsaFamiliaFolhaPagamento.csv	14109947	270.127311363
201412_BolsaFamiliaFolhaPagamento.csv	14054243	271.228792559
201501_BolsaFamiliaFolhaPagamento.csv	14026988	268.762434176
201502_BolsaFamiliaFolhaPagamento.csv	14042558	271.93646896
201503_BolsaFamiliaFolhaPagamento.csv	14004026	267.7924693
201504_BolsaFamiliaFolhaPagamento.csv	13787678	266.205718787
201505_BolsaFamiliaFolhaPagamento.csv	13779988	262.467417106
201506_BolsaFamiliaFolhaPagamento.csv	13753665	266.921946234

Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	274.59858269
201408_BolsaFamiliaFolhaPagamento.csv	14131123	270.200656209
201409_BolsaFamiliaFolhaPagamento.csv	14143630	271.167093223
201410_BolsaFamiliaFolhaPagamento.csv	14076919	269.510842984
201411_BolsaFamiliaFolhaPagamento.csv	14109947	274.368316805
201412_BolsaFamiliaFolhaPagamento.csv	14054243	275.632558677
201501_BolsaFamiliaFolhaPagamento.csv	14026988	276.050463229
201502_BolsaFamiliaFolhaPagamento.csv	14042558	271.3500705
201503_BolsaFamiliaFolhaPagamento.csv	14004026	271.846932698
201504_BolsaFamiliaFolhaPagamento.csv	13787678	271.027841981
201505_BolsaFamiliaFolhaPagamento.csv	13779988	267.080611829
201506_BolsaFamiliaFolhaPagamento.csv	13753665	265.202767427

Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	272.339705131
201408_BolsaFamiliaFolhaPagamento.csv	14131123	273.796418785
201409_BolsaFamiliaFolhaPagamento.csv	14143630	272.752613705
201410_BolsaFamiliaFolhaPagamento.csv	14076919	272.114985648
201411_BolsaFamiliaFolhaPagamento.csv	14109947	275.284309573
201412_BolsaFamiliaFolhaPagamento.csv	14054243	276.182597966
201501_BolsaFamiliaFolhaPagamento.csv	14026988	276.833183015
201502_BolsaFamiliaFolhaPagamento.csv	14042558	272.266271011
201503_BolsaFamiliaFolhaPagamento.csv	14004026	271.503431515
201504_BolsaFamiliaFolhaPagamento.csv	13787678	270.544905527
201505_BolsaFamiliaFolhaPagamento.csv	13779988	264.173432544
201506_BolsaFamiliaFolhaPagamento.csv	13753665	265.087137464

Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	274.685026133
201408_BolsaFamiliaFolhaPagamento.csv	14131123	271.76022894
201409_BolsaFamiliaFolhaPagamento.csv	14143630	270.72297678
201410_BolsaFamiliaFolhaPagamento.csv	14076919	268.514551338
201411_BolsaFamiliaFolhaPagamento.csv	14109947	270.978943806
201412_BolsaFamiliaFolhaPagamento.csv	14054243	271.840286393
201501_BolsaFamiliaFolhaPagamento.csv	14026988	272.471515978
201502_BolsaFamiliaFolhaPagamento.csv	14042558	272.124835303
201503_BolsaFamiliaFolhaPagamento.csv	14004026	269.281993771
201504_BolsaFamiliaFolhaPagamento.csv	13787678	269.91099688
201505_BolsaFamiliaFolhaPagamento.csv	13779988	265.884072948
201506_BolsaFamiliaFolhaPagamento.csv	13753665	267.502405533

Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	274.384403696
201408_BolsaFamiliaFolhaPagamento.csv	14131123	271.98491092
201409_BolsaFamiliaFolhaPagamento.csv	14143630	273.153253092
201410_BolsaFamiliaFolhaPagamento.csv	14076919	271.752997792
201411_BolsaFamiliaFolhaPagamento.csv	14109947	272.992492141
201412_BolsaFamiliaFolhaPagamento.csv	14054243	273.498237912
201501_BolsaFamiliaFolhaPagamento.csv	14026988	272.127819902
201502_BolsaFamiliaFolhaPagamento.csv	14042558	272.400217444
201503_BolsaFamiliaFolhaPagamento.csv	14004026	271.234497034
201504_BolsaFamiliaFolhaPagamento.csv	13787678	270.688620592
201505_BolsaFamiliaFolhaPagamento.csv	13779988	265.67123634
201506_BolsaFamiliaFolhaPagamento.csv	13753665	270.339020017

Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	274.525366582
201408_BolsaFamiliaFolhaPagamento.csv	14131123	273.274436733
201409_BolsaFamiliaFolhaPagamento.csv	14143630	273.488926089
201410_BolsaFamiliaFolhaPagamento.csv	14076919	271.665128759
201411_BolsaFamiliaFolhaPagamento.csv	14109947	275.518227414
201412_BolsaFamiliaFolhaPagamento.csv	14054243	274.279826966
201501_BolsaFamiliaFolhaPagamento.csv	14026988	277.244003611
201502_BolsaFamiliaFolhaPagamento.csv	14042558	271.180576675
201503_BolsaFamiliaFolhaPagamento.csv	14004026	271.542757085
201504_BolsaFamiliaFolhaPagamento.csv	13787678	269.185793803
201505_BolsaFamiliaFolhaPagamento.csv	13779988	267.930645415
201506_BolsaFamiliaFolhaPagamento.csv	13753665	265.703990729

Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	275.353995633
201408_BolsaFamiliaFolhaPagamento.csv	14131123	277.80997501
201409_BolsaFamiliaFolhaPagamento.csv	14143630	272.088822483
201410_BolsaFamiliaFolhaPagamento.csv	14076919	271.379235531
201411_BolsaFamiliaFolhaPagamento.csv	14109947	272.591275269
201412_BolsaFamiliaFolhaPagamento.csv	14054243	274.660025003
201501_BolsaFamiliaFolhaPagamento.csv	14026988	278.097501963
201502_BolsaFamiliaFolhaPagamento.csv	14042558	272.79470994
201503_BolsaFamiliaFolhaPagamento.csv	14004026	270.341406823
201504_BolsaFamiliaFolhaPagamento.csv	13787678	270.02795222
201505_BolsaFamiliaFolhaPagamento.csv	13779988	265.868195353
201506_BolsaFamiliaFolhaPagamento.csv	13753665	268.790040703

