Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	301.895997825
201408_BolsaFamiliaFolhaPagamento.csv	14131123	285.564409252
201409_BolsaFamiliaFolhaPagamento.csv	14143630	273.684391086
201410_BolsaFamiliaFolhaPagamento.csv	14076919	274.209576711
201411_BolsaFamiliaFolhaPagamento.csv	14109947	271.668533009
201412_BolsaFamiliaFolhaPagamento.csv	14054243	268.40779891
201501_BolsaFamiliaFolhaPagamento.csv	14026988	270.861367902
201502_BolsaFamiliaFolhaPagamento.csv	14042558	286.162857954
201503_BolsaFamiliaFolhaPagamento.csv	14004026	275.904891728
201504_BolsaFamiliaFolhaPagamento.csv	13787678	262.270759494
201505_BolsaFamiliaFolhaPagamento.csv	13779988	263.389921289
201506_BolsaFamiliaFolhaPagamento.csv	13753665	273.582041497

Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	268.546817957
201408_BolsaFamiliaFolhaPagamento.csv	14131123	268.030724932
201409_BolsaFamiliaFolhaPagamento.csv	14143630	267.020455178
201410_BolsaFamiliaFolhaPagamento.csv	14076919	275.699056143
201411_BolsaFamiliaFolhaPagamento.csv	14109947	283.046251614
201412_BolsaFamiliaFolhaPagamento.csv	14054243	265.305609379
201501_BolsaFamiliaFolhaPagamento.csv	14026988	268.626269274
201502_BolsaFamiliaFolhaPagamento.csv	14042558	284.622197466
201503_BolsaFamiliaFolhaPagamento.csv	14004026	276.749343772
201504_BolsaFamiliaFolhaPagamento.csv	13787678	261.607713582
201505_BolsaFamiliaFolhaPagamento.csv	13779988	268.870049776
201506_BolsaFamiliaFolhaPagamento.csv	13753665	291.141821073

Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	272.775050828
201408_BolsaFamiliaFolhaPagamento.csv	14131123	274.596767133
201409_BolsaFamiliaFolhaPagamento.csv	14143630	278.796103761
201410_BolsaFamiliaFolhaPagamento.csv	14076919	282.518512716
201411_BolsaFamiliaFolhaPagamento.csv	14109947	279.836369613
201412_BolsaFamiliaFolhaPagamento.csv	14054243	272.662727421
201501_BolsaFamiliaFolhaPagamento.csv	14026988	275.242483904
201502_BolsaFamiliaFolhaPagamento.csv	14042558	292.61545328
201503_BolsaFamiliaFolhaPagamento.csv	14004026	276.65308067
201504_BolsaFamiliaFolhaPagamento.csv	13787678	278.330219533
201505_BolsaFamiliaFolhaPagamento.csv	13779988	277.955932636
201506_BolsaFamiliaFolhaPagamento.csv	13753665	294.136246783

Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	280.559695566
201408_BolsaFamiliaFolhaPagamento.csv	14131123	280.935251773
201409_BolsaFamiliaFolhaPagamento.csv	14143630	281.988450903
201410_BolsaFamiliaFolhaPagamento.csv	14076919	284.215118214
201411_BolsaFamiliaFolhaPagamento.csv	14109947	293.203355353
201412_BolsaFamiliaFolhaPagamento.csv	14054243	283.096895469
201501_BolsaFamiliaFolhaPagamento.csv	14026988	285.622112175
201502_BolsaFamiliaFolhaPagamento.csv	14042558	292.135262686
201503_BolsaFamiliaFolhaPagamento.csv	14004026	270.315119665
201504_BolsaFamiliaFolhaPagamento.csv	13787678	260.825805163
201505_BolsaFamiliaFolhaPagamento.csv	13779988	261.996996066
201506_BolsaFamiliaFolhaPagamento.csv	13753665	277.245080361

Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	270.935965809
201408_BolsaFamiliaFolhaPagamento.csv	14131123	268.634156739
201409_BolsaFamiliaFolhaPagamento.csv	14143630	269.430628227
201410_BolsaFamiliaFolhaPagamento.csv	14076919	282.944307854
201411_BolsaFamiliaFolhaPagamento.csv	14109947	283.111130574
201412_BolsaFamiliaFolhaPagamento.csv	14054243	268.560059915
201501_BolsaFamiliaFolhaPagamento.csv	14026988	268.085580297
201502_BolsaFamiliaFolhaPagamento.csv	14042558	285.749879063
201503_BolsaFamiliaFolhaPagamento.csv	14004026	270.746932321
